Word,Species_code,row,cloumn
void,101,2,5
main,0,2,10
(,304,2,10
),305,2,11
{,201,2,12
int,102,3,8
a,0,3,10
=,313,3,10
1,401,3,12
;,203,3,12
for,112,4,8
(,304,4,8
int,102,4,12
i,0,4,14
=,313,4,14
1,401,4,16
;,203,4,16
i,0,4,18
<,311,4,18
10,401,4,21
;,203,4,21
i,0,4,23
++,330,4,24
),305,4,25
{,201,4,26
a,0,5,10
+=,325,5,11
1,401,5,13
;,203,5,13
},202,6,5
},202,7,1
